"Pass []","re(Mode(1)) [g]"
1,2.88860116464249
2,4.42077017905982
3,4.68254539361962
4,4.78296658846549
5,4.85949809079369
6,4.91366423455317
7,4.94837088565882
8,4.97134776487373
9,4.98930335378081
10,5.00255225063823
